"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","25-MAR-24","23-MAR-24","01:30:00Z","ACTON","CALIFORNIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED INTO TERRAIN, ACTON, CA.","ACCIDENT","VAN NUYS FSDO","N1695H","","","PIPER","PA28","No","SUBSTANTIAL","INSTRUCTION","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","25-MAR-24","23-MAR-24","18:47:00Z","ST PETERSBURG","FLORIDA","UNITED STATES","AIRCRAFT LANDED GEAR UP, ST PETERSBURG, FL.","ACCIDENT","TAMPA FSDO","N33UR","","","PIPER","PA31","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","25-MAR-24","23-MAR-24","21:34:00Z","RICHMOND","VIRGINIA","UNITED STATES","AIRCRAFT ENCOUNTERED SEVERE TURBULENCE INJURYING FLIGHT ATTENDANT, RICHMOND, VA.","INCIDENT","RICHMOND FSDO","N3118J","JBU53","JET BLUE AIRLINES","AIRBUS","BD-500-1A11","No","UNKNOWN","COMMERCIAL","EN ROUTE (ENR)","121","MINOR","No","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","25-MAR-24","22-MAR-24","17:03:00Z","BOUNTIFUL","UTAH","UNITED STATES","AIRCRAFT LANDED HARD AND NOSE GEAR SEPARATED, BOUNTIFUL, UT.","INCIDENT","SALT LAKE CITY FSDO","N135BF","","","CZECH SPORT AIRCRAFT","SPORTCRUISER","No","MINOR","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","25-MAR-24","24-MAR-24","18:10:00Z","TAVERNIER","FLORIDA","UNITED STATES","AIRCRAFT CRASHED FOR UNKNOWN REASONS ON A PRIVATE STRIP, TAVERNIER, FL.","INCIDENT","SOUTH FLORIDA FSDO","N291AG","","","AUTOGYRO GMBH","MTO SPORT","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","25-MAR-24","25-MAR-24","01:54:00Z","SALT LAKE CITY","UTAH","UNITED STATES","AIRCRAFT PILON PANEL BEHIND #1 ENGINE DETACHED ON TAKEOFF AND RETURNED TO AIRPORT, SALT LAKE CITY, UT.","INCIDENT","SALT LAKE CITY FSDO","N405DX","DAL56","DELTA AIRLINES","AIRBUS","A330","No","UNKNOWN","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","25-MAR-24","24-MAR-24","21:40:00Z","HAYWARD","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED AND GEAR COLLAPSED ON TAXIWAY, HAYWARD, CA.","INCIDENT","OAKLAND FSDO","N816P","","","MOONEY","M20V","No","MINOR","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","25-MAR-24","24-MAR-24","18:37:00Z","AUBURN","ALABAMA","UNITED STATES","AIRCRAFT CRASHED FOR UNKNOWN REASONS SHORTLY AFTER TAKEOFF, AUBURN, AL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N863AU","","AUBURN UNIVERSITY","CESSNA","172","No","UNKNOWN","FAR 141 PILOT SCHOOL","TAKEOFF (TOF)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","25-MAR-24","22-MAR-24","21:45:00Z","MURRIETA","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, MURRIETA, CA.","INCIDENT","RIVERSIDE FSDO","N1383J","","","ROCKWELL INTERNATIONAL","112A","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","25-MAR-24","23-MAR-24","12:32:00Z","SAN FRANCISCO","CALIFORNIA","UNITED STATES","AIRCRAFT STRUCK A BIRD ON DEPARTURE DAMAGING PILOT SIDE WINDOW, SAN FRANCISCO, CA.","INCIDENT","OAKLAND FSDO","N37535","UAL1003","UNITED AIRLINES","BOEING","737","No","MINOR","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
